id,castid,character_name,actor_name,order
862,14,Woody (voice),Tom Hanks,0
862,15,Buzz Lightyear (voice),Tim Allen,1
862,16,Mr. Potato Head (voice),Don Rickles,2
8844,1,Alan Parrish,Robin Williams,0
8844,8,Samuel Alan Parrish / Van Pelt,Jonathan Hyde,1
8844,2,Judy Sheperd,Kirsten Dunst,2
11862,1,George Banks,Steve Martin,0
11862,2,Nina Banks,Diane Keaton,1
11862,3,Franck Eggelhoffer,Martin Short,2
949,25,Lt. Vincent Hanna,Al Pacino,0
949,26,Neil McCauley,Robert De Niro,1
949,27,Chris Shiherlis,Val Kilmer,2
9091,1,Darren Francis Thomas McCord,Jean-Claude Van Damme,0
9091,2,Joshua Foss,Powers Boothe,1
9091,4,Matthew Hallmark,Dorian Harewood,2
710,1,James Bond,Pierce Brosnan,0
710,2,Alec Trevelyan,Sean Bean,1
710,3,Natalya Fyodorovna Simonova,Izabella Scorupco,2
9087,1,Andrew Shepherd,Michael Douglas,0
9087,2,Sydney Ellen Wade,Annette Bening,1
9087,3,Lewis Rothschild,Michael J. Fox,2
12110,9,Count Dracula,Leslie Nielsen,0
12110,10,Prof. Abraham Van Helsing,Mel Brooks,1
12110,11,Mina Seward,Amy Yasbeck,2
21032,1,Balto (voice),Kevin Bacon,0
21032,2,Boris the Goose (voice),Bob Hoskins,1
21032,8,Jenna (voice),Bridget Fonda,2
524,4,Sam 'Ace' Rothstein,Robert De Niro,0
524,5,Ginger McKenna,Sharon Stone,1
524,6,Nicky Santoro,Joe Pesci,2
4584,6,Marianne Dashwood,Kate Winslet,0
4584,7,Elinor Dashwood,Emma Thompson,1
4584,8,Edward Ferrars,Hugh Grant,2
5,42,Ted the Bellhop,Tim Roth,0
5,31,Man,Antonio Banderas,1
5,29,Angela,Jennifer Beals,2
9273,1,Ace Ventura,Jim Carrey,0
9273,2,Fulton Greenwall,Ian McNeice,1
9273,3,Vincent Cadby,Simon Callow,2
11517,1,John,Wesley Snipes,0
11517,3,Charlie,Woody Harrelson,1
11517,4,Grace Santiago,Jennifer Lopez,2
8012,1,Chili Palmer,John Travolta,0
8012,2,Harry Zimm,Gene Hackman,1
8012,3,Karen Flores,Rene Russo,2
1710,8,Helen Hudson,Sigourney Weaver,0
1710,9,M.J. Monahan,Holly Hunter,1
1710,10,Nico Letti,Will Patton,2
9691,1,Robert Rath,Sylvester Stallone,0
9691,2,Miguel Bain,Antonio Banderas,1
9691,3,Electra,Julianne Moore,2
451,1,Ben Sanderson,Nicolas Cage,0
451,2,Sera,Elisabeth Shue,1
451,3,Yuri,Julian Sands,2
902,24,One,Ron Perlman,0
902,25,Scaphandrier / Les Clones,Dominique Pinon,1
902,26,Miette,Judith Vittet,2
9909,13,Louanne Johnson,Michelle Pfeiffer,0
9909,14,Hal Griffith,George Dzundza,1
9909,15,George Grandey,Courtney B. Vance,2
