id,crewid,name,department,job
862,52fe4284c3a36847f8024f49,John Lasseter,Directing,Director
862,52fe4284c3a36847f8024f4f,Joss Whedon,Writing,Screenplay
862,52fe4284c3a36847f8024f55,Andrew Stanton,Writing,Screenplay
8844,52fe44bfc3a36847f80a7cd1,Larry J. Franco,Production,Executive Producer
8844,52fe44bfc3a36847f80a7c89,Jonathan Hensleigh,Writing,Screenplay
8844,52fe44bfc3a36847f80a7cdd,James Horner,Sound,Original Music Composer
11862,52fe44959251416c75039ed7,Alan Silvestri,Sound,Original Music Composer
11862,52fe44959251416c75039ee9,Elliot Davis,Camera,Director of Photography
11862,52fe44959251416c75039ecb,Nancy Meyers,Writing,Screenplay
949,52fe4292c3a36847f802916d,Michael Mann,Directing,Director
949,52fe4292c3a36847f8029173,Michael Mann,Writing,Screenplay
949,52fe4292c3a36847f8029179,Art Linson,Production,Producer
9091,52fe44dbc3a36847f80ae0f1,Peter Hyams,Directing,Director
9091,52fe44dbc3a36847f80ae0f7,Karen Elise Baldwin,Writing,Screenplay
9091,52fe44dbc3a36847f80ae103,Gene Quintano,Writing,Screenplay
710,52fe426ec3a36847f801e14b,Martin Campbell,Directing,Director
710,52fe426ec3a36847f801e151,Ian Fleming,Writing,Characters
710,52fe426ec3a36847f801e157,Jeffrey Caine,Writing,Screenplay
9087,52fe44dac3a36847f80adfa3,John Seale,Camera,Director of Photography
9087,52fe44dac3a36847f80adf8b,Rob Reiner,Directing,Director
9087,52fe44dac3a36847f80adf97,Rob Reiner,Production,Producer
12110,52fe44b79251416c7503e7fb,Adam Weiss,Editing,Editor
12110,52fe44b79251416c7503e82f,Mel Brooks,Writing,Screenplay
12110,52fe44b79251416c7503e7e3,Mel Brooks,Directing,Director
21032,593f24b9c3a3680369002371,Steven Spielberg,Production,Producer
21032,593f24cfc3a36803f60025d8,Kathleen Kennedy,Production,Producer
21032,52fe4409c3a368484e00bb87,Roger S.H. Schulman,Writing,Writer
524,52fe424dc3a36847f80139cd,Martin Scorsese,Directing,Director
524,52fe424dc3a36847f80139fb,Barbara De Fina,Production,Producer
524,52fe424dc3a36847f8013a01,Robert Richardson,Camera,Director of Photography
4584,52fe43cec3a36847f807101f,Ang Lee,Directing,Director
4584,52fe43cec3a36847f8071025,Jane Austen,Writing,Novel
4584,52fe43cec3a36847f807102b,Emma Thompson,Writing,Screenplay
5,52fe420dc3a36847f800011b,Combustible Edison,Sound,Original Music Composer
5,52fe420dc3a36847f8000121,Gary Frutkoff,Art,Production Design
5,52fe420dc3a36847f8000127,Lance Brown,Sound,Sound Designer
9273,52fe44dfc3a36847f80af28b,Steve Oedekerk,Directing,Director
9273,52fe44dfc3a36847f80af291,Jack Bernstein,Writing,Characters
9273,52fe44dfc3a36847f80af297,Steve Oedekerk,Writing,Screenplay
11517,52fe44509251416c750305a1,Joseph Ruben,Directing,Director
11517,52fe44509251416c750305b3,Doug Richardson,Writing,Screenplay
