,movieid,castid,character_name,actor_name,order
0,862.0,14,Woody (voice),Tom Hanks,0
1,862.0,15,Buzz Lightyear (voice),Tim Allen,1
2,862.0,16,Mr. Potato Head (voice),Don Rickles,2
3,8844.0,1,Alan Parrish,Robin Williams,0
4,8844.0,8,Samuel Alan Parrish / Van Pelt,Jonathan Hyde,1
5,8844.0,2,Judy Sheperd,Kirsten Dunst,2
6,11862.0,1,George Banks,Steve Martin,0
7,11862.0,2,Nina Banks,Diane Keaton,1
8,11862.0,3,Franck Eggelhoffer,Martin Short,2
9,949.0,25,Lt. Vincent Hanna,Al Pacino,0
10,949.0,26,Neil McCauley,Robert De Niro,1
11,949.0,27,Chris Shiherlis,Val Kilmer,2
12,9091.0,1,Darren Francis Thomas McCord,Jean-Claude Van Damme,0
13,9091.0,2,Joshua Foss,Powers Boothe,1
14,9091.0,4,Matthew Hallmark,Dorian Harewood,2
15,710.0,1,James Bond,Pierce Brosnan,0
16,710.0,2,Alec Trevelyan,Sean Bean,1
17,710.0,3,Natalya Fyodorovna Simonova,Izabella Scorupco,2
18,9087.0,1,Andrew Shepherd,Michael Douglas,0
19,9087.0,2,Sydney Ellen Wade,Annette Bening,1
20,9087.0,3,Lewis Rothschild,Michael J. Fox,2
21,12110.0,9,Count Dracula,Leslie Nielsen,0
22,12110.0,10,Prof. Abraham Van Helsing,Mel Brooks,1
23,12110.0,11,Mina Seward,Amy Yasbeck,2
24,21032.0,1,Balto (voice),Kevin Bacon,0
25,21032.0,2,Boris the Goose (voice),Bob Hoskins,1
26,21032.0,8,Jenna (voice),Bridget Fonda,2
27,524.0,4,Sam 'Ace' Rothstein,Robert De Niro,0
28,524.0,5,Ginger McKenna,Sharon Stone,1
29,524.0,6,Nicky Santoro,Joe Pesci,2
30,4584.0,6,Marianne Dashwood,Kate Winslet,0
31,4584.0,7,Elinor Dashwood,Emma Thompson,1
32,4584.0,8,Edward Ferrars,Hugh Grant,2
33,5.0,42,Ted the Bellhop,Tim Roth,0
34,5.0,31,Man,Antonio Banderas,1
35,5.0,29,Angela,Jennifer Beals,2
36,9273.0,1,Ace Ventura,Jim Carrey,0
37,9273.0,2,Fulton Greenwall,Ian McNeice,1
38,9273.0,3,Vincent Cadby,Simon Callow,2
39,11517.0,1,John,Wesley Snipes,0
40,11517.0,3,Charlie,Woody Harrelson,1
41,11517.0,4,Grace Santiago,Jennifer Lopez,2
42,8012.0,1,Chili Palmer,John Travolta,0
43,8012.0,2,Harry Zimm,Gene Hackman,1
44,8012.0,3,Karen Flores,Rene Russo,2
45,1710.0,8,Helen Hudson,Sigourney Weaver,0
46,1710.0,9,M.J. Monahan,Holly Hunter,1
47,1710.0,10,Nico Letti,Will Patton,2
48,9691.0,1,Robert Rath,Sylvester Stallone,0
49,9691.0,2,Miguel Bain,Antonio Banderas,1
50,9691.0,3,Electra,Julianne Moore,2
51,451.0,1,Ben Sanderson,Nicolas Cage,0
52,451.0,2,Sera,Elisabeth Shue,1
53,451.0,3,Yuri,Julian Sands,2
54,902.0,24,One,Ron Perlman,0
55,902.0,25,Scaphandrier / Les Clones,Dominique Pinon,1
56,902.0,26,Miette,Judith Vittet,2
57,9909.0,13,Louanne Johnson,Michelle Pfeiffer,0
58,9909.0,14,Hal Griffith,George Dzundza,1
59,9909.0,15,George Grandey,Courtney B. Vance,2
60,63.0,41,James Cole,Bruce Willis,0
61,63.0,42,Dr. Kathryn Railly,Madeleine Stowe,1
62,63.0,43,Jeffrey Goines,Brad Pitt,2
63,9598.0,1,Babe the Gallant Pig (voice),Christine Cavanaugh,0
64,9598.0,2,Fly the Female Sheepdog (voice),Miriam Margolyes,1
65,9598.0,3,Ferdinand the Duck (voice),Danny Mann,2
66,687.0,7,Sister Helen Prejean,Susan Sarandon,0
67,687.0,8,Matthew Poncelet,Sean Penn,1
68,687.0,9,Hilton Barber,Robert Prosky,2
69,9603.0,8,Cher Horowitz,Alicia Silverstone,0
70,9603.0,9,Dionne,Stacey Dash,1
71,9603.0,10,Tai,Brittany Murphy,2
72,9312.0,1,Lord Rayden,Christopher Lambert,0
73,9312.0,2,Liu Kang,Robin Shou,1
74,9312.0,3,Johnny Cage,Linden Ashby,2
75,577.0,4,Suzanne Stone Maretto,Nicole Kidman,0
76,577.0,5,Larry Maretto,Matt Dillon,1
77,577.0,6,Jimmy Emmett,Joaquin Phoenix,2
78,807.0,17,Detective David Mills,Brad Pitt,0
79,807.0,18,Detective Lt. William Somerset,Morgan Freeman,1
80,807.0,19,Tracy Mills,Gwyneth Paltrow,2
81,10530.0,1,Pocahontas (voice),Irene Bedard,0
82,10530.0,2,John Smith (voice),Mel Gibson,1
83,10530.0,3,Governor Ratcliffe (voice),David Ogden Stiers,2
84,629.0,19,Michael McManus,Stephen Baldwin,0
85,629.0,20,Dean Keaton,Gabriel Byrne,1
86,629.0,24,US Customs Agent Dave Kujan,Chazz Palminteri,2
87,10607.0,18,Ashtray,Shawn Wayans,0
88,10607.0,2,Loc Dog,Marlon Wayans,1
89,10607.0,3,Dashiki,Tracey Cherelle Jones,2
90,10634.0,1,Craig Jones,Ice Cube,0
91,10634.0,2,Smokey,Chris Tucker,1
92,10634.0,3,Debbie,Nia Long,2
93,755.0,1,Seth Gecko,George Clooney,0
94,755.0,2,Richard Gecko,Quentin Tarantino,1
95,755.0,3,Jacob Fuller,Harvey Keitel,2
96,9102.0,1,Colonel Hendricksson,Peter Weller,0
97,9102.0,2,Becker,Roy Dupuis,1
98,9102.0,3,Jessica,Jennifer Rubin,2
99,2086.0,11,Gene Watson,Johnny Depp,0
