,id,genres
0,862.0,animation
1,862.0,comedy
2,862.0,family
3,8844.0,adventure
4,8844.0,fantasy
5,8844.0,family
11,11862.0,comedy
12,949.0,action
13,949.0,crime
14,949.0,drama
15,949.0,thriller
22,9091.0,action
23,9091.0,adventure
24,9091.0,thriller
25,710.0,adventure
26,710.0,action
27,710.0,thriller
28,9087.0,comedy
29,9087.0,drama
30,9087.0,romance
31,12110.0,comedy
32,12110.0,horror
33,21032.0,family
34,21032.0,animation
35,21032.0,adventure
40,524.0,drama
41,524.0,crime
42,4584.0,drama
43,4584.0,romance
44,5.0,crime
45,5.0,comedy
46,9273.0,crime
47,9273.0,comedy
48,9273.0,adventure
49,11517.0,action
50,11517.0,comedy
51,11517.0,crime
52,8012.0,comedy
53,8012.0,thriller
54,8012.0,crime
55,1710.0,drama
56,1710.0,thriller
57,9691.0,action
58,9691.0,adventure
59,9691.0,crime
60,9691.0,thriller
65,451.0,drama
66,451.0,romance
73,902.0,fantasy
74,902.0,science fiction
75,902.0,adventure
78,9909.0,drama
79,9909.0,crime
80,63.0,science fiction
81,63.0,thriller
82,63.0,mystery
85,9598.0,fantasy
86,9598.0,drama
87,9598.0,comedy
88,9598.0,family
92,687.0,drama
100,9603.0,comedy
101,9603.0,drama
102,9603.0,romance
112,9312.0,action
113,9312.0,fantasy
114,577.0,fantasy
115,577.0,drama
116,577.0,comedy
117,577.0,thriller
120,807.0,crime
121,807.0,mystery
122,807.0,thriller
123,10530.0,adventure
124,10530.0,animation
125,10530.0,drama
126,10530.0,family
129,629.0,drama
130,629.0,crime
131,629.0,thriller
161,10607.0,comedy
171,10634.0,comedy
172,755.0,horror
173,755.0,action
174,755.0,thriller
175,755.0,crime
188,9102.0,horror
189,9102.0,science fiction
211,2086.0,crime
212,2086.0,drama
213,2086.0,thriller
225,9208.0,action
226,9208.0,adventure
227,9208.0,drama
228,9208.0,thriller
230,406.0,drama
239,13685.0,comedy
240,13685.0,crime
241,13685.0,drama
248,9614.0,comedy
249,688.0,drama
250,688.0,romance
261,197.0,action
262,197.0,drama
263,197.0,history
264,197.0,war
265,103.0,crime
266,103.0,drama
267,33542.0,crime
268,33542.0,action
269,33542.0,comedy
270,33542.0,thriller
293,11104.0,drama
294,11104.0,comedy
295,11104.0,romance
324,11000.0,comedy
329,9737.0,action
330,9737.0,comedy
331,9737.0,crime
332,9737.0,thriller
337,10474.0,drama
338,10474.0,crime
346,568.0,drama
347,11780.0,adventure
350,414.0,action
351,414.0,crime
352,414.0,fantasy
353,649.0,drama
354,649.0,romance
360,8839.0,fantasy
361,8839.0,comedy
362,8839.0,family
366,10329.0,action
367,10329.0,adventure
368,10329.0,drama
369,10329.0,mystery
370,10329.0,science fiction
371,10329.0,thriller
372,8963.0,action
373,8963.0,thriller
374,8963.0,drama
376,8068.0,thriller
377,8068.0,action
378,8068.0,crime
382,1572.0,action
383,1572.0,thriller
390,6520.0,action
391,6520.0,adventure
392,6520.0,drama
393,6520.0,romance
395,10428.0,action
396,10428.0,crime
397,10428.0,thriller
398,10428.0,drama
402,9886.0,adventure
403,9886.0,action
404,9886.0,drama
405,9886.0,science fiction
406,9886.0,thriller
407,9482.0,science fiction
410,9344.0,drama
411,9344.0,crime
422,2293.0,romance
423,2293.0,comedy
424,9070.0,action
425,9070.0,adventure
426,9070.0,science fiction
427,9070.0,family
428,9070.0,fantasy
436,1642.0,crime
437,1642.0,drama
438,1642.0,mystery
439,1642.0,thriller
440,1642.0,action
