,id,genres
0,862,animation
1,862,comedy
2,862,family
3,8844,adventure
4,8844,fantasy
5,8844,family
6,15602,romance
7,15602,comedy
8,31357,comedy
9,31357,drama
10,31357,romance
11,11862,comedy
12,949,action
13,949,crime
14,949,drama
15,949,thriller
16,11860,comedy
17,11860,romance
18,45325,action
19,45325,adventure
20,45325,drama
21,45325,family
22,9091,action
23,9091,adventure
24,9091,thriller
25,710,adventure
26,710,action
27,710,thriller
28,9087,comedy
29,9087,drama
30,9087,romance
31,12110,comedy
32,12110,horror
33,21032,family
34,21032,animation
35,21032,adventure
36,10858,history
37,10858,drama
38,1408,action
39,1408,adventure
40,524,drama
41,524,crime
42,4584,drama
43,4584,romance
44,5,crime
45,5,comedy
46,9273,crime
47,9273,comedy
48,9273,adventure
49,11517,action
50,11517,comedy
51,11517,crime
52,8012,comedy
53,8012,thriller
54,8012,crime
55,1710,drama
56,1710,thriller
57,9691,action
58,9691,adventure
59,9691,crime
60,9691,thriller
61,12665,drama
62,12665,fantasy
63,12665,science fiction
64,12665,thriller
65,451,drama
66,451,romance
67,16420,drama
68,9263,comedy
69,9263,drama
70,9263,family
71,17015,drama
72,17015,romance
73,902,fantasy
74,902,science fiction
75,902,adventure
76,37557,drama
77,37557,crime
78,9909,drama
79,9909,crime
80,63,science fiction
81,63,thriller
82,63,mystery
83,78802,romance
84,78802,adventure
85,9598,fantasy
86,9598,drama
87,9598,comedy
88,9598,family
89,47018,history
90,47018,drama
91,47018,romance
92,687,drama
93,139405,adventure
94,139405,history
95,139405,drama
96,139405,family
97,33689,comedy
98,33689,family
99,33689,romance
100,9603,comedy
101,9603,drama
102,9603,romance
103,34615,drama
104,31174,drama
105,31174,war
106,11443,action
107,11443,crime
108,11443,drama
109,11443,history
110,35196,drama
111,35196,romance
112,9312,action
113,9312,fantasy
114,577,fantasy
115,577,drama
116,577,comedy
117,577,thriller
118,11861,drama
119,11861,romance
120,807,crime
121,807,mystery
122,807,thriller
123,10530,adventure
124,10530,animation
125,10530,drama
126,10530,family
127,8391,drama
128,8391,romance
129,629,drama
130,629,crime
131,629,thriller
132,117164,action
133,117164,thriller
134,117164,drama
135,11448,comedy
136,11448,romance
137,49133,drama
138,49133,foreign
139,26441,action
140,26441,adventure
141,26441,comedy
142,26441,family
143,97406,drama
144,9089,comedy
145,9089,drama
146,9089,romance
147,11010,comedy
148,11010,drama
149,11010,romance
150,99040,thriller
151,99040,drama
152,99040,mystery
153,11359,adventure
154,11359,family
155,11359,fantasy
156,17182,drama
157,17182,thriller
158,2054,music
159,2054,drama
160,2054,family
161,10607,comedy
162,19760,comedy
163,19760,romance
164,9536,comedy
165,11525,action
166,11525,science fiction
167,40628,drama
168,40628,family
169,4482,comedy
170,4482,romance
171,10634,comedy
172,755,horror
173,755,action
174,755,thriller
175,755,crime
176,11859,action
177,11859,thriller
178,11859,romance
179,28387,comedy
180,28387,drama
181,28387,romance
182,48750,drama
183,48750,history
184,20927,drama
185,20927,romance
186,36929,comedy
187,36929,family
188,9102,horror
189,9102,science fiction
190,124626,documentary
191,27526,drama
192,27526,thriller
193,9623,drama
194,9623,thriller
195,46785,family
196,46785,drama
197,400,drama
198,400,crime
199,880,drama
200,880,comedy
201,146599,romance
202,146599,drama
203,8447,drama
204,8447,romance
205,10534,action
206,10534,drama
207,17414,adventure
208,17414,comedy
209,17414,family
210,13997,comedy
211,2086,crime
212,2086,drama
213,2086,thriller
214,61548,drama
215,9095,drama
216,9095,horror
217,9095,thriller
218,9095,romance
219,12158,comedy
220,12158,horror
221,12158,romance
222,9283,comedy
223,9283,drama
224,9283,romance
225,9208,action
226,9208,adventure
227,9208,drama
228,9208,thriller
229,40154,comedy
230,406,drama
231,45549,action
232,45549,adventure
233,45549,drama
234,45549,science fiction
235,45549,thriller
236,63076,documentary
237,11062,drama
238,11062,thriller
239,13685,comedy
240,13685,crime
241,13685,drama
242,47475,comedy
243,47475,romance
244,2045,drama
245,2045,mystery
246,2045,science fiction
247,2045,thriller
248,9614,comedy
249,688,drama
250,688,romance
251,11907,drama
252,11907,comedy
253,11907,family
254,10874,action
255,10874,comedy
256,10874,music
257,10874,family
258,10874,adventure
259,89333,documentary
260,96357,crime
261,197,action
262,197,drama
263,197,history
264,197,war
265,103,crime
266,103,drama
267,33542,crime
268,33542,action
269,33542,comedy
270,33542,thriller
271,43566,drama
272,43566,thriller
273,71754,drama
274,43612,comedy
275,51352,documentary
276,51352,drama
277,51352,foreign
278,16934,comedy
279,16934,crime
280,16934,drama
281,10324,comedy
282,10324,romance
283,78406,comedy
284,78406,drama
285,55731,action
286,55731,adventure
287,55731,comedy
288,55731,drama
289,55731,family
290,32119,drama
291,11066,comedy
292,11066,romance
293,11104,drama
294,11104,comedy
295,11104,romance
296,37975,drama
297,37975,romance
298,2074,comedy
299,2074,romance
300,27793,fantasy
301,44284,drama
302,110972,comedy
303,110972,romance
304,32622,comedy
305,32622,drama
306,73067,drama
307,73067,romance
308,73067,war
309,11863,action
310,11863,thriller
311,11863,mystery
312,11863,romance
313,55475,comedy
314,55475,drama
315,55475,romance
316,124636,music
317,124636,documentary
318,9101,comedy
319,123360,documentary
320,5757,comedy
321,39428,drama
322,9302,drama
323,9302,romance
324,11000,comedy
325,249882,drama
326,16388,comedy
327,16388,drama
328,16388,romance
329,9737,action
330,9737,comedy
331,9737,crime
332,9737,thriller
333,30765,action
334,30765,adventure
