id,original_language,original_title,overview,popularity,poster_path,release_date,runtime,title,vote_average,vote_count,production_company
862,English,Toy Story,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",21.946943,/rhIRbceoE9lR4veEXuwCC2wARtG.jpg,1995-10-30,81,Toy Story,7.7,5415.0,Pixar Animation Studios
8844,English,Jumanji,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",17.015539,/vzmL6fP7aPKNKPRTFnZmiUfciyV.jpg,1995-12-15,104,Jumanji,6.9,2413.0,TriStar Pictures
11862,English,Father of the Bride Part II,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife, Nina, is expecting too. He was planning on selling their home, but that's a plan that -- like George -- will have to change with the arrival of both a grandchild and a kid of his own.",8.387519,/e64sOI48hQXyru7naBFyssKFxVd.jpg,1995-02-10,106,Father of the Bride Part II,5.7,173.0,Sandollar Productions
949,English,Heat,"Obsessive master thief, Neil McCauley leads a top-notch crew on various insane heists throughout Los Angeles while a mentally unstable detective, Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.",17.924927,/zMyfPUelumio3tiDKPffaUpsQTD.jpg,1995-12-15,170,Heat,7.7,1886.0,Regency Enterprises
9091,English,Sudden Death,"International action superstar Jean Claude Van Damme teams with Powers Boothe in a Tension-packed, suspense thriller, set against the back-drop of a Stanley Cup game.Van Damme portrays a father whose daughter is suddenly taken during a championship hockey game. With the captors demanding a billion dollars by game's end, Van Damme frantically sets a plan in motion to rescue his daughter and abort an impending explosion before the final buzzer...",5.23158,/eoWvKD60lT95Ss1MYNgVExpo5iU.jpg,1995-12-22,106,Sudden Death,5.5,174.0,Universal Pictures
710,English,GoldenEye,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.,14.686036,/5c0ovjT41KnYIHYuF4AWsTe3sKh.jpg,1995-11-16,130,GoldenEye,6.6,1194.0,United Artists
9087,English,The American President,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.",6.318445,/lymPNGLZgPHuqM29rKMGV46ANij.jpg,1995-11-17,106,The American President,6.5,199.0,Columbia Pictures
12110,English,Dracula: Dead and Loving It,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Dr. van Helsing, who may be the only one able to vanquish the count.",5.430331,/xve4cgfYItnOhtzLYoTwTVy5FGr.jpg,1995-12-22,88,Dracula: Dead and Loving It,5.7,210.0,Columbia Pictures
21032,English,Balto,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",12.140733,/gV5PCAVCPNxlOLFM1bKk50EqLXO.jpg,1995-12-22,78,Balto,7.1,423.0,Universal Pictures
524,English,Casino,The life of the gambling paradise – Las Vegas – and its dark mafia underbelly.,10.137389,/xo517ibXBDdYQY81j0WIG7BVcWq.jpg,1995-11-22,178,Casino,7.8,1343.0,Universal Pictures
