id,genres
862,animation
862,comedy
862,family
8844,adventure
8844,fantasy
8844,family
11862,comedy
949,action
949,crime
949,drama
949,thriller
9091,action
9091,adventure
9091,thriller
710,adventure
710,action
710,thriller
9087,comedy
9087,drama
9087,romance
12110,comedy
12110,horror
21032,family
21032,animation
21032,adventure
524,drama
524,crime
4584,drama
4584,romance
5,crime
5,comedy
9273,crime
9273,comedy
9273,adventure
11517,action
11517,comedy
11517,crime
8012,comedy
8012,thriller
8012,crime
1710,drama
1710,thriller
9691,action
9691,adventure
9691,crime
9691,thriller
451,drama
451,romance
902,fantasy
902,science fiction
902,adventure
9909,drama
9909,crime
63,science fiction
63,thriller
63,mystery
9598,fantasy
9598,drama
9598,comedy
9598,family
687,drama
9603,comedy
9603,drama
9603,romance
9312,action
9312,fantasy
577,fantasy
577,drama
577,comedy
577,thriller
807,crime
807,mystery
807,thriller
10530,adventure
10530,animation
10530,drama
10530,family
629,drama
629,crime
629,thriller
10607,comedy
10634,comedy
755,horror
755,action
755,thriller
755,crime
9102,horror
9102,science fiction
2086,crime
2086,drama
2086,thriller
9208,action
9208,adventure
9208,drama
9208,thriller
406,drama
13685,comedy
13685,crime
13685,drama
9614,comedy
688,drama
688,romance
197,action
197,drama
197,history
197,war
103,crime
103,drama
33542,crime
33542,action
33542,comedy
33542,thriller
11104,drama
11104,comedy
11104,romance
11000,comedy
9737,action
9737,comedy
9737,crime
9737,thriller
10474,drama
10474,crime
568,drama
11780,adventure
414,action
414,crime
414,fantasy
649,drama
649,romance
8839,fantasy
8839,comedy
8839,family
10329,action
10329,adventure
10329,drama
10329,mystery
10329,science fiction
10329,thriller
8963,action
8963,thriller
8963,drama
8068,thriller
8068,action
8068,crime
1572,action
1572,thriller
6520,action
6520,adventure
6520,drama
6520,romance
10428,action
10428,crime
10428,thriller
10428,drama
9886,adventure
9886,action
9886,drama
9886,science fiction
9886,thriller
9482,science fiction
9344,drama
9344,crime
2293,romance
2293,comedy
9070,action
9070,adventure
9070,science fiction
9070,family
9070,fantasy
1642,crime
1642,drama
1642,mystery
1642,thriller
1642,action
11472,comedy
10802,drama
9348,science fiction
9348,horror
9348,action
281,crime
281,drama
281,science fiction
281,thriller
3512,action
3512,thriller
9560,drama
9560,romance
9804,adventure
9804,action
76,drama
76,romance
11017,comedy
2292,comedy
1909,romance
1909,drama
1909,comedy
8984,drama
8984,thriller
8984,crime
8984,mystery
8984,romance
11929,crime
11929,drama
11929,mystery
8467,comedy
522,comedy
522,drama
522,history
397,comedy
397,romance
15789,romance
15789,animation
15789,family
15789,comedy
15789,adventure
1024,drama
1024,fantasy
628,horror
628,romance
6280,comedy
6280,family
6280,romance
11,adventure
11,action
11,science fiction
9587,drama
9587,romance
19101,drama
19101,family
19101,fantasy
4476,adventure
4476,drama
4476,romance
4476,war
11008,adventure
11008,comedy
11008,family
3036,drama
3036,horror
3036,science fiction
3036,romance
10510,fantasy
10510,drama
10510,family
241,crime
241,thriller
241,drama
6950,action
6950,drama
6950,science fiction
6950,thriller
101,thriller
101,crime
101,drama
680,thriller
680,crime
11450,history
11450,drama
12106,action
12106,western
110,drama
110,mystery
110,romance
108,drama
108,music
108,mystery
109,comedy
109,drama
109,mystery
22586,animation
2636,action
2636,thriller
2164,action
2164,adventure
2164,science fiction
11395,fantasy
11395,drama
11395,comedy
11395,family
278,drama
278,crime
9905,crime
9905,thriller
193,science fiction
193,action
193,adventure
193,thriller
12122,thriller
12122,horror
12122,science fiction
11381,comedy
1587,romance
1587,drama
9271,action
9271,crime
9271,science fiction
9271,thriller
2064,comedy
2064,drama
2064,romance
3049,comedy
3049,mystery
2759,drama
2759,comedy
9331,action
9331,drama
9331,thriller
10731,drama
10731,thriller
10731,crime
10731,mystery
9495,fantasy
9495,action
9495,thriller
888,fantasy
888,comedy
888,family
13,comedy
13,drama
13,romance
712,comedy
712,drama
712,romance
10660,comedy
10660,drama
10660,romance
8587,family
8587,animation
8587,drama
11596,horror
11596,thriller
11596,mystery
11596,fantasy
854,romance
854,comedy
854,crime
854,fantasy
9359,action
9359,adventure
9359,comedy
9359,drama
9359,western
36593,comedy
36593,crime
2788,drama
11011,comedy
11011,family
8987,action
8987,adventure
8987,crime
8987,thriller
1637,action
1637,adventure
1637,crime
8831,thriller
8831,science fiction
8831,action
8831,crime
36955,action
36955,thriller
10395,fantasy
12160,drama
12160,action
12160,western
11667,action
11667,adventure
11667,thriller
2654,horror
2654,mystery
2654,thriller
2758,comedy
2758,family
2758,fantasy
10436,drama
10436,romance
13595,comedy
13595,crime
13595,music
306,action
306,comedy
306,crime
1607,drama
1607,crime
6075,action
6075,crime
6075,drama
6075,thriller
9350,action
9350,adventure
9350,thriller
9612,comedy
9612,science fiction
9612,family
11566,comedy
9571,comedy
9571,drama
9739,crime
9739,action
9739,science fiction
37233,drama
37233,mystery
37233,thriller
1634,family
1634,adventure
5503,adventure
5503,action
5503,thriller
5503,crime
5503,mystery
2019,action
2019,adventure
2019,crime
2019,thriller
9255,action
9255,comedy
9255,war
11934,comedy
11934,drama
9386,action
9386,drama
9386,thriller
9386,crime
9386,mystery
7984,drama
329,adventure
329,science fiction
10909,thriller
10909,crime
9593,adventure
9593,fantasy
9593,action
9593,comedy
9593,family
10440,comedy
10440,mystery
9516,drama
9516,action
9516,crime
2320,action
2320,adventure
2320,drama
2320,thriller
11971,drama
11971,comedy
11971,romance
788,comedy
788,drama
788,family
11231,adventure
9559,crime
9559,drama
9559,thriller
9800,drama
713,drama
713,romance
1245,drama
1245,romance
7007,action
7007,drama
7007,thriller
5550,action
5550,adventure
5550,crime
5550,science fiction
5550,thriller
8005,comedy
14534,drama
424,drama
424,history
424,war
11236,drama
11236,family
11236,fantasy
858,comedy
858,drama
858,romance
78,science fiction
78,drama
78,thriller
11074,crime
11074,action
11074,mystery
11074,thriller
9607,adventure
9607,comedy
9607,family
9607,fantasy
9479,fantasy
9479,animation
9479,family
10057,action
10057,adventure
10057,comedy
11969,action
11969,adventure
11969,drama
11969,history
11969,western
319,action
319,thriller
319,crime
319,romance
15139,fantasy
15139,science fiction
15139,family
15139,animation
11655,drama
11655,horror
11655,thriller
10897,romance
10897,comedy
10897,family
771,comedy
771,family
251,fantasy
251,drama
251,thriller
251,mystery
251,romance
812,animation
812,family
812,comedy
812,adventure
812,fantasy
812,romance
280,action
280,thriller
280,science fiction
581,adventure
581,drama
581,western
268,fantasy
268,action
274,crime
274,drama
274,thriller
408,fantasy
408,animation
408,family
10020,romance
10020,family
10020,animation
10020,fantasy
10020,music
10895,animation
10895,family
114,romance
114,comedy
576,adventure
576,western
7300,comedy
7300,romance
275,crime
275,drama
275,thriller
11827,animation
11827,science fiction
10112,animation
10112,comedy
10112,family
10112,adventure
1592,crime
1592,drama
1592,mystery
1592,thriller
10684,drama
10684,thriller
10684,mystery
10684,war
954,adventure
954,action
954,thriller
8840,fantasy
10539,adventure
10539,animation
10539,family
10543,drama
10543,thriller
10543,romance
2300,animation
2300,comedy
2300,drama
2300,family
2300,fantasy
12233,animation
12233,comedy
12233,family
922,drama
922,fantasy
