,id,spoken_languages
0,862,english
1,8844,english
2,8844,français
3,15602,english
4,31357,english
5,11862,english
6,949,english
7,949,español
8,11860,français
9,11860,english
10,45325,english
11,45325,deutsch
12,9091,english
13,710,english
14,710,pусский
15,710,español
16,9087,english
17,12110,english
18,12110,deutsch
19,21032,english
20,10858,english
21,1408,english
22,1408,latin
23,524,english
24,4584,english
25,5,english
26,9273,english
27,11517,english
28,8012,english
29,1710,english
30,1710,deutsch
31,9691,english
32,9691,español
33,9691,nederlands
34,12665,english
35,451,english
36,16420,english
37,9263,english
38,17015,english
39,902,广州话 / 廣州話
40,902,français
41,37557,普通话
42,9909,english
43,63,english
44,63,français
45,78802,english
46,9598,english
47,47018,english
48,687,english
49,139405,pусский
50,139405,english
51,33689,english
52,9603,español
53,9603,english
54,34615,english
55,31174,english
56,11443,english
57,35196,english
58,35196,español
59,9312,english
60,577,english
61,11861,english
62,807,english
63,10530,english
64,8391,english
65,629,español
66,629,english
67,629,français
68,629,magyar
69,11448,english
70,49133,shqip
71,49133,italiano
72,26441,english
73,26441,deutsch
74,97406,english
75,124057,english
76,9089,english
77,9089,español
78,11010,italiano
79,11010,español
80,99040,english
81,99040,français
82,11359,english
83,17182,english
84,17182,français
85,17182,한국어/조선말
86,17182,español
87,2054,english
88,10607,english
89,10607,español
90,19760,english
91,9536,english
92,9536,pусский
93,11525,english
94,11525,magyar
95,40628,english
96,4482,français
97,4482,español
98,10634,english
99,755,english
100,755,español
101,11859,english
102,11859,español
103,28387,english
104,48750,français
105,20927,english
106,36929,english
107,9102,english
108,124626,deutsch
109,124626,english
110,27526,english
111,9623,english
112,46785,فارسی
113,400,english
114,880,nederlands
115,146599,english
116,8447,english
117,10534,dansk
118,10534,english
119,10534,français
120,10534,deutsch
121,17414,english
122,17414,français
123,17414,pусский
124,13997,english
125,2086,english
126,61548,english
127,9095,english
128,12158,english
129,9283,english
130,9208,english
131,40154,english
132,406,français
133,45549,english
134,63076,english
135,11062,english
136,13685,español
137,13685,english
138,47475,english
139,2045,english
140,9614,english
141,688,english
142,11907,deutsch
143,10874,english
144,89333,english
145,197,english
146,197,français
147,197,latin
148,197,
149,103,english
150,103,español
151,33542,广州话 / 廣州話
152,33542,english
153,43566,english
154,43566,français
155,43566,deutsch
156,71754,english
157,43612,français
158,51352,english
159,16934,english
160,10324,english
161,78406,english
162,55731,english
163,32119,english
164,11066,français
165,11066,english
166,11104,广州话 / 廣州話
167,11104,english
168,11104,日本語
169,11104,普通话
170,37975,italiano
171,2074,english
172,27793,english
173,44284,العربية
174,44284,français
175,110972,english
176,32622,english
177,73067,english
178,11863,english
179,55475,español
180,124636,english
181,9101,english
182,123360,english
183,5757,english
184,39428,english
185,9302,français
186,11000,english
187,11000,français
188,249882,english
189,249882,hrvatski
190,249882,bosanski
191,16388,english
192,9737,english
193,30765,deutsch
194,10474,english
195,22279,english
196,30157,english
197,568,english
198,11780,english
199,34996,english
200,414,english
201,649,français
202,649,
203,649,español
204,1873,english
205,5894,english
206,1775,english
207,8839,english
208,20649,english
209,10329,english
210,10329,français
211,8963,english
212,26564,english
213,8068,english
214,8512,english
215,1572,english
216,1572,deutsch
217,1572,română
218,13552,english
219,259209,english
220,6520,english
221,6520,français
222,9073,english
223,9073,bahasa indonesia
224,9073,bahasa melayu
225,10428,english
226,10428,italiano
227,10428,日本語
228,10428,pусский
229,17447,english
230,17447,français
231,9886,english
232,9886,日本語
233,9482,english
234,19326,english
235,9344,english
236,9071,english
237,8973,english
238,15730,english
239,47608,english
240,2293,english
241,9070,english
242,68274,english
243,48787,pусский
244,48787,english
245,34574,deutsch
246,34574,english
247,1642,english
248,1642,español
249,11472,english
250,11472,pусский
251,36196,english
252,11980,english
253,58372,english
254,32646,english
255,10533,english
256,10802,english
257,10149,english
258,18402,english
259,9348,english
260,139408,magyar
261,139408,english
262,281,english
263,5967,français
264,79593,english
265,47939,english
266,36834,english
267,9090,english
268,9090,español
269,3512,english
270,52856,english
271,77350,english
272,9560,english
273,9804,english
274,9804,deutsch
275,9804,español
276,31611,english
277,65796,广州话 / 廣州話
278,65796,english
279,49805,english
280,26258,english
281,26258,deutsch
282,50797,pусский
283,19155,shqip
284,19155,english
285,19155,
286,76,english
287,76,deutsch
288,76,français
289,11017,français
290,11017,español
291,11017,english
292,37141,english
293,9382,english
294,6715,english
295,18256,english
296,18256,italiano
297,18256,svenska
298,22625,english
299,2292,english
300,1909,english
301,8984,english
302,61813,english
303,4954,english
304,62488,english
305,10531,english
306,11929,english
307,8467,english
308,10451,普通话
309,20156,english
310,20156,עִבְרִית
311,18395,english
312,522,english
313,397,français
314,397,english
315,10525,english
316,27985,english
317,15789,english
318,27303,english
319,21183,english
320,10954,français
321,47867,english
322,43475,english
323,72031,english
324,14275,english
325,1024,english
326,17207,english
327,17207,pусский
328,13701,english
329,14819,english
330,32631,english
331,32631,français
332,32631,deutsch
333,11777,english
334,11777,deutsch
335,628,english
336,628,français
337,87729,english
338,18713,english
339,6280,english
340,9061,english
341,37108,english
342,6071,english
343,11,english
344,9587,english
345,9587,deutsch
346,9587,français
347,19101,english
348,19101,français
349,49980,english
350,17961,français
351,18183,english
352,18183,español
353,4476,
354,4476,english
355,11008,english
356,47504,english
357,32325,english
358,32325,español
359,43742,english
360,28313,english
361,11318,english
362,3036,english
363,40490,english
364,24070,english
365,8986,english
366,10510,english
